BGI sample,REU ID,sex
MS-A02,hetAtr_ind01,m
MS-A03,hetAtr_ind02,uf
MS-B01,hetAtr_ind03,uf
MS-B03,hetAtr_ind04,uf
MS-C02,hetAtr_ind05,uf
MS-D01,hetAtr_ind06,uf
MS-E02,hetAtr_ind07,uf
MS-E03,hetAtr_ind08,uf
MS-F01,hetAtr_ind09,uf
MS-F02,hetAtr_ind10,uf
MS-F03,hetAtr_ind11,uf
MS-G02,hetAtr_ind12,m
MS-G03,hetAtr_ind13,uf
MS-H03,hetAtr_ind14,uf
